galaxy,cluster,sftype,agntype,right_ascension,declination,distance,redshift,modified_redshift,itot_151,itot_610,itot_1400,itot_4860,itot_18000,m_hi,cos_va,itot_24mic,itot_70mic,itot_100mic,itot_160mic,itot_250mic,itot_350mic,itot_450mic,itot_500mic,itot_850mic,itot_1200mic,K_mag,RQQ_IR_class,SD_flag,dlog_L
36471427,0,0,2,4.56676,1.93631,2197.543,0.59714,0.59670438,-2.0457,-2.4996,-2.7694,-3.1734,-3.5992,0,0.3019,-4.66347,-4.72411,-4.38029,-4.1087,-4.14521,-4.32807,-4.53784,-4.64058,-5.26608,-5.74485,15.9391,0,0,0
36471783,0,0,2,2.11702,3.54838,2197.607,0.597161,0.596703513,-1.9013,-1.9624,-2.0154,-2.1966,-2.5496,0,0.9885,-4.87147,-4.93212,-4.5883,-4.3167,-4.35321,-4.53606,-4.74583,-4.84857,-5.47406,-5.95284,16.4591,0,0,0
36471836,0,0,2,4.47967,3.90304,2197.785,0.597218,0.597995375,-1.7351,-2.1897,-2.4601,-2.8652,-3.2916,0,0.2391,-4.74958,-4.81027,-4.46645,-4.19482,-4.2313,-4.41415,-4.62392,-4.72664,-5.35213,-5.83091,16.1544,0,0,0
36474718,0,0,2,-3.55145,-3.34664,2207.515,0.600371,0.59946978,-1.9206,-2.3662,-2.627,-3.0162,-3.4355,0,0.7167,-5.10601,-5.16834,-4.82477,-4.5518,-4.58687,-4.76912,-4.97875,-5.08105,-5.70611,-6.185,17.0474,0,0,0
36475429,0,0,2,4.81557,-0.18224,2201.614,0.598458,0.600181946,-1.3033,-1.7571,-2.0265,-2.4299,-2.8555,0,0.0641,-4.88078,-4.94194,-4.59822,-4.32607,-4.36199,-4.5446,-4.75431,-4.85687,-5.48219,-5.96101,16.4827,0,0,0
36475488,0,0,2,4.59572,0.26672,2205.732,0.599793,0.601184061,-1.7838,-2.238,-2.508,-2.9123,-3.3383,0,0.258,-4.95144,-5.01344,-4.66983,-4.3971,-4.43243,-4.61479,-4.82444,-4.92682,-5.55196,-6.03083,16.6606,0,0,0
36475626,0,0,2,-0.69338,0.83993,2195.908,0.596611,0.595940933,-1.1043,-1.5581,-1.8277,-2.2314,-2.6572,0,0.5542,-4.82654,-4.8867,-4.54283,-4.27147,-4.30822,-4.49118,-4.70098,-4.80379,-5.42936,-5.90811,16.3459,0,0,0
36475723,0,0,2,4.03519,1.30089,2200.237,0.598012,0.598788522,-0.0875,-0.5374,-0.8028,-1.1994,-1.622,0,0.2858,-5.18794,-5.24881,-4.90505,-4.63308,-4.66921,-4.8519,-5.06163,-5.16426,-5.78963,-6.26844,17.2502,0,0,0
36475923,0,0,2,2.91549,2.25353,2198.483,0.597444,0.597807908,-0.6216,-1.0013,-1.2025,-1.5098,-1.8979,0,0.9361,-5.03188,-5.09269,-4.74889,-4.47717,-4.51355,-4.69635,-4.90611,-5.00881,-5.63426,-6.11305,16.8603,0,0,0
36476060,0,0,2,-1.6679,3.28037,2199.814,0.597875,0.597837467,-1.833,-2.2869,-2.5566,-2.9605,-3.3864,0,0.2537,-4.99351,-5.05425,-4.71048,-4.43857,-4.47476,-4.65748,-4.86722,-4.96986,-5.59526,-6.07406,16.7639,0,0,0
